"lg" "pos1" "pos2" "gene.count"
1 19725000 19799999 2
1 19800000 19874999 1
1 19875000 19949999 2
1 19950000 20024999 6
1 20025000 20099999 11
1 20100000 20174999 3
1 20175000 20249999 6
1 20325000 20399999 1
1 20400000 20474999 1
1 20475000 20549999 1
1 20550000 20624999 5
1 20625000 20699999 6
1 20700000 20774999 5
1 20775000 20849999 6
1 20850000 20924999 4
1 20925000 20999999 3
1 2.1e+07 21074999 8
1 21075000 21149999 4
1 21150000 21224999 3
1 21225000 21299999 1
1 21375000 21449999 1
1 21450000 21524999 4
1 21525000 21599999 4
1 21600000 21674999 7
1 21675000 21749999 2
1 21750000 21824999 1
1 21825000 21899999 3
1 21900000 21974999 8
1 21975000 22049999 3
1 22050000 22124999 6
1 22125000 22199999 12
1 22200000 22274999 5
1 22275000 22349999 4
1 22350000 22424999 6
1 22425000 22499999 4
1 22500000 22574999 3
1 22575000 22649999 1
1 22650000 22724999 2
1 22725000 22799999 3
1 22800000 22874999 5
1 22875000 22949999 7
1 22950000 23024999 1
1 23025000 23099999 3
1 23100000 23174999 5
1 23175000 23249999 5
1 23250000 23324999 2
1 23325000 23399999 4
1 23400000 23474999 6
1 23475000 23549999 1
1 23550000 23624999 5
1 23625000 23699999 2
1 23700000 23774999 1
1 23850000 23924999 1
1 24150000 24224999 1
1 24225000 24299999 1
1 24375000 24449999 1
1 24450000 24524999 1
1 24525000 24599999 1
1 24600000 24674999 2
1 24675000 24749999 2
1 24825000 24899999 1
1 24900000 24974999 2
1 24975000 25049999 5
1 25125000 25199999 5
1 25200000 25274999 5
1 25275000 25349999 3
1 25350000 25424999 2
1 25425000 25499999 5
1 25500000 25574999 10
1 25575000 25649999 1
1 25725000 25799999 2
1 25800000 25874999 2
1 25875000 25949999 2
1 25950000 26024999 2
1 26100000 26174999 1
1 26400000 26474999 1
1 26475000 26549999 6
1 26550000 26624999 3
1 26625000 26699999 2
1 26700000 26774999 3
1 26775000 26849999 2
1 26850000 26924999 8
1 26925000 26999999 3
1 2.7e+07 27074999 5
1 27075000 27149999 2
1 27150000 27224999 4
1 27225000 27299999 4
1 27300000 27374999 10
1 27375000 27449999 8
1 27450000 27524999 7
1 27525000 27599999 7
1 27600000 27674999 7
1 27675000 27749999 11
1 27750000 27824999 7
1 27825000 27899999 6
1 27900000 27974999 8
1 27975000 28049999 2
1 28125000 28199999 1
2 1 74999 1
2 75000 149999 1
2 150000 224999 4
2 225000 299999 2
2 3e+05 374999 2
2 375000 449999 3
2 450000 524999 5
2 525000 599999 5
2 6e+05 674999 1
2 675000 749999 1
2 825000 899999 5
2 9e+05 974999 6
2 975000 1049999 1
2 1050000 1124999 1
2 1275000 1349999 1
2 1575000 1649999 1
2 1875000 1949999 2
2 1950000 2024999 1
2 2100000 2174999 1
2 2250000 2324999 2
2 2325000 2399999 1
2 2400000 2474999 4
2 2475000 2549999 3
2 2625000 2699999 1
2 3075000 3149999 1
2 3150000 3224999 1
2 3225000 3299999 5
2 3300000 3374999 2
2 3375000 3449999 2
2 3450000 3524999 7
2 3525000 3599999 7
2 3600000 3674999 4
2 3675000 3749999 2
2 3750000 3824999 1
2 3825000 3899999 5
2 3900000 3974999 1
2 4125000 4199999 3
2 4200000 4274999 5
2 4275000 4349999 3
2 4350000 4424999 3
2 4425000 4499999 2
2 4500000 4574999 2
2 4575000 4649999 4
2 4650000 4724999 1
2 4800000 4874999 1
2 4950000 5024999 4
2 5025000 5099999 4
2 5100000 5174999 4
2 5175000 5249999 2
2 5250000 5324999 4
2 5325000 5399999 3
2 5400000 5474999 3
2 5475000 5549999 1
2 5550000 5624999 3
2 5625000 5699999 9
2 5700000 5774999 6
2 5775000 5849999 5
2 5850000 5924999 11
2 5925000 5999999 5
2 6e+06 6074999 3
2 6075000 6149999 7
2 6150000 6224999 7
2 6225000 6299999 5
2 6300000 6374999 4
2 6375000 6449999 5
2 6450000 6524999 7
2 6525000 6599999 2
2 6600000 6674999 1
2 6750000 6824999 1
2 7050000 7124999 2
2 7125000 7199999 2
2 7350000 7424999 1
2 7575000 7649999 6
2 7650000 7724999 6
2 7725000 7799999 9
2 7800000 7874999 12
2 7875000 7949999 1
2 8025000 8099999 1
2 8100000 8174999 4
2 8175000 8249999 5
2 8250000 8324999 7
2 8325000 8399999 2
2 8400000 8474999 2
