"lg" "pos1" "pos2" "ds"
 1 8558661 8571918 0.704463333333333
 1 8575330 8575822 1.366705
 1 8606768 8609836 0.760359166666667
 1 8612249 8646561 0.696084666666667
 1 8665489 8666737 0.977627333333333
 1 8668669 8674810 0.933074666666667
 1 8675614 8790734 0.9417565
 1 8796782 8801850 0.913839666666667
 1 8890956 8917439 0.830585166666667
 1 8924403 8928404 0.815991
 1 8929439 8934034 0.945266333333333
 1 8935387 8937511 1.06286766666667
 1 8950903 8953636 1.05764133333333
 1 8959411 8964674 0.899105555555556
 1 8990298 9055383 0.760982666666667
 1 9059605 9062045 1.088769
 1 9066263 9069851 0.9264
 1 9084555 9086444 0.758982666666667
 1 9090447 9091400 1.04012933333333
 1 9102134 9126171 0.827229333333333
 1 9131095 9141734 0.771936666666667
 1 9143564 9145147 1.22878666666667
 1 9146859 9153860 1.11075516666667
 1 9166576 9173856 0.8663555
 1 9180092 9182871 0.700132333333333
 1 9190590 9210348 1.37198
 1 9296870 9301292 0.584222666666667
 1 9303842 9311720 0.77525
 1 9339476 9344007 0.78873375
 1 9346068 9352714 0.714399666666667
 1 9359890 9363928 0.766332333333333
 1 9378350 9392221 1.09075616666667
 1 9423834 9435566 1.64355825
 1 9465817 9466215 1.06580566666667
 1 9489065 9491339 0.680804
 1 9505875 9506291 1.0054805
 1 9540078 9542455 2.430122
 1 9544230 9546832 1.21784166666667
 1 9552408 9558069 1.50401266666667
 1 9571378 9575322 1.03850966666667
 1 9577561 9581956 0.688087333333333
 1 9584960 9586865 1.21887033333333
 1 9587470 9590691 0.851291666666667
 1 9591849 9595660 1.41297583333333
 1 9598418 9618056 0.9426765
 1 9654275 9676217 0.949908
 1 9683507 9698264 0.866634333333333
 1 9701258 9705705 0.698083666666667
 1 9710705 9714331 0.777231166666667
 1 9723215 9733089 0.815727166666667
 1 9799920 9802037 0.987528333333333
 1 9803940 9805636 0.937096666666667
 1 9807301 9816488 1.28324833333333
 1 9816673 9818637 0.586409
 1 9818367 9828009 0.785674333333333
 1 9829619 9832706 0.858548
 1 9833731 9835425 0.837790333333333
 1 9836133 9838597 0.908673
 1 9858715 9860186 1.1479635
 1 9866672 9916497 0.809801
 1 9922417 9925373 0.80303
 1 9938430 9945439 0.825064333333333
 1 9949176 9949685 1.242386
 1 9950922 9954458 0.831570666666667
 1 9955544 9990054 0.628729666666667
 1 9998415 10002459 0.777962666666667
 1 10004237 10007803 1.140139
 1 10009030 10010560 0.957044
