pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
cr stream sk marine or ns allo allo_D 0.00200962991383079 1.96662263058478e-04 9.50810377916019e-04 1.37627056157884e-05
cr stream sr marine or ns allo allo_D 0.00218194069924658 1.1928136159964e-04 7.50463835414947e-04 6.49538492836854e-05
cr stream sr white or ns allo allo_D 0.00211593279476266 1.30771083287916e-04 7.19677962427824e-04 4.06444746266951e-05
cr stream stl lake or or para para_D 0.00233080977617968 7.67660008335874e-06 2.03609659500223e-04 -6.33348354717603e-05
cr stream wc stream or or para para_S 0.00180359085959788 3.28016398787939e-05 3.40055341933793e-04 -4.7346490509756e-06
cs marine al marine or ns allo allo_S 0.0043582658253407 9.48003200727587e-05 4.12020419751877e-04 -1.9074855047435e-05
cs marine bea lake or al allo allo_D 0.00351621309483793 1.89493231505603e-05 2.18933196934206e-04 -5.80796901487392e-05
cs marine boot lake or bc allo allo_D 0.00288525166223537 1.7055317739711e-05 1.82156385229616e-04 -2.75475256012548e-05
cs marine boot stream or bc allo allo_D 0.00265549442904697 2.03901679594127e-05 3.02676095818916e-04 -3.6838027381405e-05
cs marine cl marine or ns allo allo_S 0.00395879910512185 8.96359240982118e-05 0.00121004814821899 -4.83701703066402e-05
cs marine cl white or ns allo allo_D 0.00435302006166077 8.39506401949508e-05 6.32102348051649e-04 -3.99715684438171e-05
cs marine constance lake or sl allo allo_D 0.0023059140898512 1.85318481505884e-05 2.23932584837894e-04 -1.90086743150209e-05
cs marine constance stream or sl allo allo_D 0.00245138586213061 1.22057805815242e-05 1.8429515722154e-04 -2.70544181799598e-05
cs marine cp marine or ns allo allo_S 0.00451350162975411 6.69978874506567e-05 -1.90287646123754e-04 -3.73420937034654e-05
cs marine denmark marine or ne allo allo_S 0.00205723375496297 8.62323476889361e-05 4.77899268362997e-04 1.34456650455083e-05
cs marine geneva lake or sl allo allo_D 0.00245414772850051 3.69317996735016e-06 1.2366237001705e-04 -2.24821292017244e-05
cs marine geneva stream or sl allo allo_D 0.00234177664917044 7.37170595940699e-06 1.69277421831249e-04 -2.36147992090593e-05
cs marine hadsten lake or ne allo allo_D 0.00219298074284435 2.56068608400856e-05 3.45263015883483e-04 5.51196155433117e-07
cs marine hald lake or ne allo allo_D 0.00222109527330629 4.02851416284293e-05 4.5974197393745e-04 -1.04067870944006e-06
cs marine japan japansea or jp allo allo_D 0.00133528612155664 5.42513109736816e-05 2.86269533996412e-04 2.87159081014449e-05
cs marine japan marine or jp allo allo_S 0.00208724888468397 7.74200734638941e-05 4.7483698957668e-04 1.12159044829469e-05
cs marine joes lake or bc allo allo_D 0.00284472087813946 -8.25830196939484e-06 1.00741868948265e-04 -1.73838940309013e-05
cs marine joes stream or bc allo allo_D 0.00294399700501195 -1.03263136205299e-05 1.98855380391523e-05 -2.00644588945557e-05
cs marine litcampbell marine or bc allo allo_S 0.00996784887032574 1.4140069513732e-05 -0.00324319289013288 -3.03216752214088e-04
cs marine ln marine or ns allo allo_S 0.00528461117837824 1.36180292827688e-04 -7.77308395387253e-04 -3.88961422841549e-05
cs marine mariager marine or ne allo allo_S 0.00232508782632103 4.70003220176023e-05 4.66908202304142e-04 1.77616539584684e-06
cs marine mh marine or ns allo allo_S 0.00319724495514541 1.46401804032786e-04 0.00239119217401826 6.44649416826423e-05
cs marine mh white or ns allo allo_D 0.00427950096762538 4.16843621773692e-05 0.00231426904689417 -8.35737355395685e-05
cs marine misty lake or bc allo allo_D 0.00296784021275595 2.67215796386008e-05 3.64747378782731e-04 -2.17498061398039e-05
cs marine misty stream or bc allo allo_D 0.00312980982056429 2.74275164053232e-05 3.04036579724384e-04 -3.71909322635197e-05
cs marine ms marine or or para para_S 0.00324932930719648 4.15037708802095e-05 2.7770768201321e-04 -2.25249719102469e-05
cs marine mud lake or al allo allo_D 0.00362919066458691 2.77400819840512e-05 1.4000240120364e-04 -7.72048182841132e-05
cs marine pcr lake or or para para_D 0.00312574418687454 2.37183442361714e-05 2.43275058384692e-04 5.06840337446741e-06
cs marine pl lake or or para para_D 0.0015372700708487 5.07173630497904e-05 3.94293439026971e-04 -1.88181629998733e-06
cs marine rab marine or al allo allo_S 0.00442371189914393 4.49158382108241e-05 1.55003390152958e-04 -1.29152986290755e-04
cs marine rb stream or or para para_D 0.0031555578164084 9.54161721832885e-06 1.70282697537442e-04 -1.58493381546626e-05
cs marine res marine or al allo allo_S 0.00358899560855779 2.34655467936581e-05 2.98806415775334e-04 -7.75526750679998e-05
cs marine roberts lake or bc allo allo_D 0.00324748201679482 1.87695573664787e-05 3.05248573132854e-04 -1.6842188583115e-05
cs marine roberts stream or bc allo allo_D 0.00317082230297839 1.02194570366872e-05 2.00305782664023e-04 -2.67469206938034e-05
cs marine sj marine or or para para_S 0.00317610333849531 3.05505309377859e-05 3.40254066293837e-04 2.43216497748643e-06
cs marine sk marine or ns allo allo_S 0.00460895076390105 7.57886103163726e-05 8.20462568826332e-04 -9.72481376799472e-05
cs marine sr marine or ns allo allo_S 0.00452799348496918 7.19872828591376e-05 4.70729531989144e-04 -2.71612847097413e-05
cs marine sr white or ns allo allo_D 0.00430606720956412 1.21670232000209e-04 2.16125487438276e-04 -2.99395829111398e-05
cs marine stl lake or or para para_D 0.00158922865742149 5.97119217113353e-05 4.57950965299433e-04 -2.06092835456661e-06
cs marine wc stream or or para para_D 0.00312347803101364 1.66984566724904e-05 2.92237704574733e-04 8.04757068519027e-06
denmark marine al marine ne ns allo allo_S 0.00110875002796049 5.16570803190179e-05 7.18703312822015e-04 -3.60108434757415e-06
denmark marine boot lake ne bc allo allo_D 0.0020297892865588 1.24189289703828e-04 5.06346562498185e-04 -2.6527339070156e-05
denmark marine boot stream ne bc allo allo_D 0.00199906932410516 8.56708940991548e-05 6.81429128027333e-04 -3.09932088161098e-05
denmark marine cl marine ne ns allo allo_S 0.0010910997685729 5.12341501846068e-05 8.96858648444535e-04 6.39096875705522e-06
denmark marine cl white ne ns allo allo_D 0.00108432141738643 5.00879337480431e-05 7.21915088230712e-04 -3.64093576811519e-06
denmark marine constance lake ne sl allo allo_D 0.00314444120739416 7.60409497314395e-05 4.20217849387535e-04 -9.35934332477314e-05
denmark marine constance stream ne sl allo allo_D 0.00278713817245258 8.28767863821291e-05 6.76791061701235e-04 -4.42406537951171e-05
denmark marine cp marine ne ns allo allo_S 0.00107667725515391 4.24530698477968e-05 5.67170571564293e-04 -2.18004004496008e-06
denmark marine geneva lake ne sl allo allo_D 0.00286480909790238 6.06525639878937e-05 5.49906423302175e-04 -4.48921508203339e-05
