pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
boot	lake	sr	white	allo	D	0.00663085588097927	-7.00006585129127e-05	-0.000937129106251526	-0.000112689304011418	NA	0	215	allo_D	bc	ns	allo	allo_D
boot	stream	al	marine	allo	D	0.00319904059739921	3.11176041427879e-05	0.00110887887600653	0.000102483957650516	NA	0	207	allo_D	bc	ns	allo	allo_D
boot	stream	cl	marine	allo	D	0.00209594752880054	3.13794813695942e-05	0.00249697436268009	0.000261515890449964	NA	0	132	allo_D	bc	ns	allo	allo_D
boot	stream	cl	white	allo	D	0.00240063049109627	-8.55176601184099e-06	0.00216936074921707	0.000167862022194396	NA	0	213	allo_D	bc	ns	allo	allo_D
boot	stream	constance	lake	allo	D	0.00161021859565973	-1.14934952858566e-06	0.000258543997013793	-3.61509313577589e-05	NA	624	1748	allo_D	bc	sl	allo	allo_D
boot	stream	constance	stream	allo	S	0.00167229606811969	-3.20238226861522e-08	0.00030649166865629	-4.64986390035573e-05	NA	627	1789	allo_S	bc	sl	allo	allo_S
boot	stream	cp	marine	allo	D	0.00384038134690352	1.93637043116827e-06	0.00028516466702426	2.74638612959082e-05	NA	0	359	allo_D	bc	ns	allo	allo_D
boot	stream	geneva	lake	allo	D	0.00167882038604604	-8.43776567042993e-06	0.000236199431841016	-4.71793576878646e-05	NA	622	1704	allo_D	bc	sl	allo	allo_D
boot	stream	geneva	stream	allo	S	0.00158423764416818	-5.89320031075174e-06	0.000260705287695273	-3.94045712768686e-05	NA	610	1682	allo_S	bc	sl	allo	allo_S
boot	stream	joes	lake	allo	D	0.00213313617205444	-2.79956791162336e-05	0.000214600317714689	-5.14944900002527e-05	NA	618	1690	allo_D	bc	bc	para	para_D
boot	stream	joes	stream	allo	S	0.00221804659393376	-2.92190967249559e-05	0.000138632228426255	-5.05200414928344e-05	NA	614	1688	allo_S	bc	bc	para	para_S
boot	stream	ln	marine	allo	D	0.00297852529176323	8.24940360054617e-05	0.00115013689383056	0.000101896060068335	NA	0	232	allo_D	bc	ns	allo	allo_D
boot	stream	mh	marine	allo	D	0.00194952066765004	2.85797798739168e-05	0.00237227458312718	0.000353711754204027	NA	0	103	allo_D	bc	ns	allo	allo_D
boot	stream	mh	white	allo	D	0.00364736016323907	-0.000112858074127349	0.000550037911651554	0.000698935867092492	NA	0	76	allo_D	bc	ns	allo	allo_D
boot	stream	misty	lake	allo	D	0.00214137525435754	-1.61215282465583e-06	0.000534808977930536	-6.16172404308873e-05	NA	696	1952	allo_D	bc	bc	para	para_D
boot	stream	misty	stream	allo	S	0.00222558623870479	2.45007783942743e-06	0.00050788777845525	-7.24953776532185e-05	NA	701	1952	allo_S	bc	bc	para	para_S
boot	stream	roberts	lake	allo	D	0.00230419495436119	-1.68620729833146e-05	0.000503020255669902	-5.21403352456733e-05	NA	734	2118	allo_D	bc	bc	para	para_D
boot	stream	roberts	stream	allo	S	0.00231743602505075	-1.27442888497763e-05	0.000416934987816677	-6.63792038506932e-05	NA	700	1957	allo_S	bc	bc	para	para_S
boot	stream	sk	marine	allo	D	0.00227733761577799	4.83264303922641e-05	0.00197107679579086	0.000220895848088495	NA	0	158	allo_D	bc	ns	allo	allo_D
boot	stream	sr	marine	allo	D	0.00223028445470962	-2.83889618589092e-05	0.0023148953979891	0.000174292666577715	NA	0	172	allo_D	bc	ns	allo	allo_D
boot	stream	sr	white	allo	D	0.00318090361905277	-1.84718258190948e-05	0.00144591193919486	4.74469251676663e-05	NA	0	210	allo_D	bc	ns	allo	allo_D
cl	marine	cl	white	para	D	0.00123431879264144	6.48873095084919e-05	0.000428458836336621	-4.00756733022928e-06	NA	2524	2819	para_D	ns	ns	para	para_D
cl	marine	cp	marine	allo	S	0.00128739339580913	6.57841072532797e-05	0.00040978726954279	-3.81589010802883e-06	NA	2515	2780	allo_S	ns	ns	para	para_S
cl	marine	ln	marine	allo	S	0.00130589140344842	6.77965237422392e-05	0.000356842121015861	-2.04282671142089e-06	NA	2533	2801	allo_S	ns	ns	para	para_S
cl	marine	mh	marine	allo	S	0.00118075668370755	6.32916501592673e-05	0.000523270340485783	1.55093706145246e-06	NA	2194	2562	allo_S	ns	ns	para	para_S
cl	marine	mh	white	allo	D	0.00119218140667106	5.30393533283706e-05	0.000730135234107283	-1.64225579893553e-05	NA	1724	2184	allo_D	ns	ns	para	para_D
cl	marine	sk	marine	allo	S	0.00126463024798564	6.33087224789902e-05	0.000412310795180824	-4.9653595749667e-06	NA	2461	2759	allo_S	ns	ns	para	para_S
cl	marine	sr	marine	allo	S	0.00126158230865838	6.80455635257441e-05	0.000412477936671539	-2.21683872922375e-06	NA	2484	2776	allo_S	ns	ns	para	para_S
cl	marine	sr	white	allo	D	0.00126404799950764	6.7014646225789e-05	0.00037640093663576	-1.20169515303409e-06	NA	2523	2804	allo_D	ns	ns	para	para_D
cl	white	cp	marine	allo	D	0.00124343958687595	6.58027013622193e-05	0.000401366051461761	-1.52785305305691e-05	NA	3029	3176	allo_D	ns	ns	para	para_D
cl	white	ln	marine	allo	D	0.00126104834252816	6.77227829911969e-05	0.000324997992544026	-1.09918526552768e-05	NA	2996	3169	allo_D	ns	ns	para	para_D
cl	white	mh	marine	allo	D	0.00122219968850614	6.75247484654098e-05	0.000506071063713702	-6.24350890651101e-06	NA	2241	2589	allo_D	ns	ns	para	para_D
cl	white	mh	white	allo	S	0.00121503791947721	5.02616505642977e-05	0.00076279217637598	-2.36103221017757e-05	NA	1701	2161	allo_S	ns	ns	para	para_S
cl	white	sk	marine	allo	D	0.00128304826194372	5.93476996598372e-05	0.000367393179447999	-1.28285557971005e-05	NA	2695	2938	allo_D	ns	ns	para	para_D
cl	white	sr	marine	allo	D	0.00121104189718776	6.50865073304053e-05	0.000428000032077232	-1.4047667137452e-05	NA	2814	3033	allo_D	ns	ns	para	para_D
cl	white	sr	white	allo	S	0.00122967618987248	6.28727456724208e-05	0.0003782666977057	-8.68545448120358e-06	NA	2904	3097	allo_S	ns	ns	para	para_S
constance	lake	al	marine	allo	D	0.00480850144558508	-0.000192727823431906	0.000662180371205117	0.000219346670234371	NA	0	147	allo_D	sl	ns	allo	allo_D
constance	lake	cl	marine	allo	D	0.00373689413628346	-2.57541470440373e-06	0.00118703034819623	0.000216606825289359	NA	0	88	allo_D	sl	ns	allo	allo_D
constance	lake	cl	white	allo	D	0.00538860890090154	-0.000143406211308787	0.000183779092590021	0.000190336426742107	NA	0	161	allo_D	sl	ns	allo	allo_D
constance	lake	constance	stream	para	D	0.00200092271846247	-3.94510201525806e-05	0.0006452451012912	-4.64638420081147e-05	NA	564	1172	para_D	sl	sl	para	para_D
constance	lake	cp	marine	allo	D	0.00594884758468115	-8.96321702768924e-05	-0.000868583143501425	-7.57062131925682e-07	NA	1	277	allo_D	sl	ns	allo	allo_D
constance	lake	geneva	lake	allo	S	0.00230401140954039	-3.76556670293486e-05	3.82500925552744e-05	-5.82597239513764e-05	NA	589	1263	allo_S	sl	sl	para	para_S
constance	lake	geneva	stream	allo	D	0.00203012832227626	-3.41489149233285e-05	0.000219499816661447	-5.83535837390392e-05	NA	599	1271	allo_D	sl	sl	para	para_D
constance	lake	joes	lake	allo	S	0.00175322016999464	-1.92602361106463e-05	5.72170285165731e-05	-2.34731670245918e-05	NA	717	1917	allo_S	sl	bc	allo	allo_S
constance	lake	joes	stream	allo	D	0.00187329824192952	-2.30033798152828e-05	1.16394426544925e-06	-2.90525921961102e-05	NA	683	1881	allo_D	sl	bc	allo	allo_D
constance	lake	ln	marine	allo	D	0.00516379859697111	-0.000110061617594909	0.000122762180115875	0.000124334810129298	NA	0	192	allo_D	sl	ns	allo	allo_D
constance	lake	mh	marine	allo	D	0.00497129044376142	-7.82784436858341e-06	0.00101642664032724	0.000249608243926087	NA	0	69	allo_D	sl	ns	allo	allo_D
constance	lake	mh	white	allo	D	0.000217291930539044	-0.000212879561177478	0.0081993068483956	3.41361207176759e-05	NA	0	47	allo_D	sl	ns	allo	allo_D
constance	lake	misty	lake	allo	S	0.00178650058338672	1.20506936668912e-05	0.00027536749908013	-2.68092743824888e-05	NA	789	2139	allo_S	sl	bc	allo	allo_S
constance	lake	misty	stream	allo	D	0.00179224821775803	1.021946932696e-05	0.000299444293051362	-2.51399315386326e-05	NA	793	2126	allo_D	sl	bc	allo	allo_D
constance	lake	roberts	lake	allo	S	0.00210170307461393	4.94290428917018e-07	0.000201915789014023	-3.18351617501382e-05	NA	802	2217	allo_S	sl	bc	allo	allo_S
constance	lake	roberts	stream	allo	D	0.0020968184709548	-3.91488923647129e-06	0.000106299975108831	-3.86569328019014e-05	NA	766	2074	allo_D	sl	bc	allo	allo_D
constance	lake	sk	marine	allo	D	0.00534961422276884	-0.000126940336640726	0.000314687692467475	0.000137634657088893	NA	0	110	allo_D	sl	ns	allo	allo_D
constance	lake	sr	marine	allo	D	0.0059266606498548	-0.000136991746546949	0.000129792194319275	2.4113364036998e-05	NA	0	124	allo_D	sl	ns	allo	allo_D
constance	lake	sr	white	allo	D	0.00609559027290451	-0.000133599474001477	-0.000611267734079349	5.97724267520192e-05	NA	0	158	allo_D	sl	ns	allo	allo_D
constance	stream	al	marine	allo	D	0.00538727227867299	-0.000237877654973342	0.00116041228683299	0.000108253886901006	NA	0	147	allo_D	sl	ns	allo	allo_D
constance	stream	cl	marine	allo	D	0.00481247491613169	-9.5497329384252e-05	0.00085400879232029	0.000233237197639519	NA	0	92	allo_D	sl	ns	allo	allo_D
constance	stream	cl	white	allo	D	0.00490447318530281	-0.000183077543275734	0.00130924034113418	0.000163570970416235	NA	0	162	allo_D	sl	ns	allo	allo_D
constance	stream	cp	marine	allo	D	0.00618178621073962	-6.46612138257715e-05	-0.00102278905147672	-4.3818248481505e-05	NA	1	295	allo_D	sl	ns	allo	allo_D
constance	stream	geneva	lake	allo	D	0.00234187314407093	-3.42056152835104e-05	0.00012912684311849	-6.34139181174077e-05	NA	591	1268	allo_D	sl	sl	para	para_D
constance	stream	geneva	stream	allo	S	0.00209001933066549	-2.85289244324545e-05	0.000250117265961161	-5.78235773242014e-05	NA	603	1282	allo_S	sl	sl	para	para_S
constance	stream	joes	lake	allo	D	0.00176002732862659	-1.99476999857131e-05	0.000144930779009211	-3.28289762464396e-05	NA	736	1966	allo_D	sl	bc	allo	allo_D
constance	stream	joes	stream	allo	S	0.00191081277583195	-2.22780045265623e-05	6.23818971742255e-05	-3.65118425312496e-05	NA	705	1928	allo_S	sl	bc	allo	allo_S
constance	stream	ln	marine	allo	D	0.00615819589683093	-8.68603872123061e-05	-0.000568375994123386	0.000115319433651575	NA	0	181	allo_D	sl	ns	allo	allo_D
constance	stream	mh	marine	allo	D	0.00347886686172179	-3.74676957152342e-05	0.00216307430415901	0.000396567673791248	NA	0	68	allo_D	sl	ns	allo	allo_D
constance	stream	mh	white	allo	D	0.000570250949502573	-0.000336952792866929	0.00784198855888559	0.000320850910605694	NA	0	53	allo_D	sl	ns	allo	allo_D
constance	stream	misty	lake	allo	D	0.00184888213305914	1.23060976224766e-05	0.000307140552931224	-3.66922333347058e-05	NA	804	2176	allo_D	sl	bc	allo	allo_D
constance	stream	misty	stream	allo	S	0.00181526041830796	8.53586049094468e-06	0.000375087091288215	-3.40719308439097e-05	NA	803	2163	allo_S	sl	bc	allo	allo_S
constance	stream	roberts	lake	allo	D	0.00217950958109567	-2.84325796179645e-06	0.000222680676748345	-3.82544804926964e-05	NA	805	2239	allo_D	sl	bc	allo	allo_D
