pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
cr	stream	pcr	lake	allo	D	-2.32403048342326	12598.9512530609	-0.444584394316195	-0.0670172985487209	NA	1547	2886	allo_D	or	or	para	para_D
cr	stream	pl	lake	allo	D	-2.69379485795348	40790.5168524349	-0.343107003444303	-0.0403473263019577	NA	888	1263	allo_D	or	or	para	para_D
cr	stream	rab	marine	allo	D	-1.01683644333564	12799.3435912297	-1.46814583325879	0.00281634587181174	NA	1	588	allo_D	or	al	allo	allo_D
cr	stream	rb	stream	allo	S	-1.75073470021438	5557.40949361814	-1.03746751404053	-0.0634489038736849	NA	939	2376	allo_S	or	or	para	para_S
cr	stream	res	marine	allo	D	-2.10008608506963	11390.4078424648	-0.735316988344229	-0.0321487629367037	NA	86	1525	allo_D	or	al	allo	allo_D
cr	stream	roberts	lake	allo	D	-1.89700479100425	19710.2756637579	-1.28621668485507	0.00053346776115721	NA	674	2353	allo_D	or	bc	allo	allo_D
cr	stream	roberts	stream	allo	S	-2.1328342751162	5607.41692507564	-0.744546507594147	-0.0345590306937901	NA	654	2229	allo_S	or	bc	allo	allo_S
cr	stream	sj	marine	allo	D	-2.15812270830076	13677.1564290182	-0.76298724798449	-0.0396492880386085	NA	1540	2895	allo_D	or	or	para	para_D
cr	stream	sk	marine	allo	D	0.0230545404110549	-65160.8469470621	-0.725921727272396	-0.157678709846551	NA	1	311	allo_D	or	ns	allo	allo_D
cr	stream	sr	marine	allo	D	0.152975433284166	-75715.6305083642	-1.10492560234792	-0.102792197272551	NA	1	345	allo_D	or	ns	allo	allo_D
cr	stream	sr	white	allo	D	-0.006815649094969	-53682.3830214041	-0.932568971160509	-0.139448578677524	NA	2	392	allo_D	or	ns	allo	allo_D
cr	stream	stl	lake	allo	D	-1.75240380532749	-160234.637870452	-0.593374456882166	0.00323616218703243	NA	969	1365	allo_D	or	or	para	para_D
cr	stream	wc	stream	allo	S	-2.18644286322608	18978.9440929209	-0.724218816176015	-0.048404914339942	NA	1523	2802	allo_S	or	or	para	para_S
cs	marine	al	marine	allo	S	-2.46747423433051	28634.2774754862	0.0145121817356841	-0.155834851406753	NA	1	535	allo_S	or	ns	allo	allo_S
cs	marine	bea	lake	allo	D	-2.37955681019055	20252.0594069491	-0.581331666278732	-0.0337230833984783	NA	118	1853	allo_D	or	al	allo	allo_D
cs	marine	boot	lake	allo	D	-1.97193941420888	28205.9343657296	-1.05394276191265	-0.0440648602185546	NA	713	2414	allo_D	or	bc	allo	allo_D
