pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
hald lake mh white ne ns allo allo_D NA NA NA NA
hald lake misty lake ne bc allo allo_S -3.046 0.05 -0.208 0.019
hald lake misty stream ne bc allo allo_D -3.123 0.044 -0.069 0.018
hald lake mud lake ne al allo allo_S NA NA NA NA
hald lake rab marine ne al allo allo_D NA NA NA NA
hald lake res marine ne al allo allo_D NA NA NA NA
hald lake roberts lake ne bc allo allo_S -1.809 0.026 -1.175 -0.024
hald lake roberts stream ne bc allo allo_D -1.642 0.023 -1.31 -0.025
hald lake sk marine ne ns allo allo_D NA NA NA NA
hald lake sr marine ne ns allo allo_D NA NA NA NA
hald lake sr white ne ns allo allo_D NA NA NA NA
japan japansea al marine jp ns allo allo_D -3.623 0.056 0.767 -0.056
japan japansea boot lake jp bc allo allo_D -2.862 0.045 0.064 -0.064
japan japansea boot stream jp bc allo allo_D -2.984 0.068 -0.266 7e-03
japan japansea cl marine jp ns allo allo_D -3.299 0.08 0.313 -0.05
japan japansea cl white jp ns allo allo_D -3.588 0.068 0.723 -0.064
japan japansea constance lake jp sl allo allo_D -2.327 0.062 -0.399 -0.102
japan japansea constance stream jp sl allo allo_D -2.007 0.072 -0.679 -0.13
japan japansea cp marine jp ns allo allo_D -3.023 0.025 0.38 -0.088
japan japansea denmark marine jp ne allo allo_D -3.452 0.064 0.56 -0.055
japan japansea geneva lake jp sl allo allo_D -2.753 0.06 -0.088 -0.073
japan japansea geneva stream jp sl allo allo_D -2.89 0.073 0.012 -0.075
japan japansea joes lake jp bc allo allo_D -1.918 0.053 -1.305 -4e-03
japan japansea joes stream jp bc allo allo_D -2.476 0.058 -0.682 -9e-03
japan japansea litcampbell marine jp bc allo allo_D -1.358 -0.058 -1.022 -0.039
japan japansea ln marine jp ns allo allo_D -3.014 0.054 0.307 -0.098
japan japansea mh marine jp ns allo allo_D -3.871 0.058 1.073 -0.068
japan japansea mh white jp ns allo allo_D -3.261 0.04 0.562 -0.078
japan japansea misty lake jp bc allo allo_D -2.888 0.071 -0.085 -0.057
japan japansea misty stream jp bc allo allo_D -2.627 0.085 -0.572 -0.027
japan japansea roberts lake jp bc allo allo_D -3.152 0.04 0.453 -0.081
japan japansea roberts stream jp bc allo allo_D -2.469 0.024 -0.442 -0.027
japan japansea sk marine jp ns allo allo_D -3.54 0.041 0.609 -0.025
japan japansea sr marine jp ns allo allo_D -3.363 0.062 0.592 -0.085
japan japansea sr white jp ns allo allo_D -3.158 0.048 0.645 -0.14
japan marine al marine jp ns allo allo_S -4.492 0.078 1.089 0.051
japan marine boot lake jp bc allo allo_D -3.693 0.015 0.416 0.055
japan marine boot stream jp bc allo allo_D -2.939 0.017 -0.38 0.057
japan marine cl marine jp ns allo allo_S -4.067 0.097 0.648 0.034
japan marine cl white jp ns allo allo_D -4.239 0.086 0.849 0.039
japan marine constance lake jp sl allo allo_D -3.761 0.055 0.332 0.055
japan marine constance stream jp sl allo allo_D -3.458 0.098 0.265 -0.039
japan marine cp marine jp ns allo allo_S -4.323 0.093 0.933 0.035
japan marine denmark marine jp ne allo allo_S -4.357 0.102 0.879 0.048
