pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
hald lake sr marine ne ns allo allo_D -2.533 -0.024 0.023 -0.069
hald lake sr white ne ns allo allo_D -4.945 0.064 1.908 -0.041
japan japansea al marine jp ns allo allo_D -2.4 -0.349 0.663 -0.144
japan japansea boot lake jp bc allo allo_D -1.29 -0.12 -0.146 -0.129
japan japansea boot stream jp bc allo allo_D -1.625 -0.09 -0.115 -0.124
japan japansea cl marine jp ns allo allo_D -2.512 -0.308 0.61 -0.109
japan japansea cl white jp ns allo allo_D -2.557 -0.318 0.807 -0.148
japan japansea constance lake jp sl allo allo_D -1.042 -0.142 -0.225 -0.132
japan japansea constance stream jp sl allo allo_D -0.951 -0.14 -0.485 -0.106
japan japansea cp marine jp ns allo allo_D -2.257 -0.379 0.458 -0.122
japan japansea denmark marine jp ne allo allo_D -1.906 -0.322 0.065 -0.136
japan japansea geneva lake jp sl allo allo_D -1.155 -0.123 -0.11 -0.088
japan japansea geneva stream jp sl allo allo_D -0.802 -0.106 -0.49 -0.083
japan japansea joes lake jp bc allo allo_D -1.583 -0.068 0.075 -0.102
japan japansea joes stream jp bc allo allo_D -1.68 -0.108 0.232 -0.113
japan japansea litcampbell marine jp bc allo allo_D 0.064 -0.119 -1.537 -0.106
japan japansea ln marine jp ns allo allo_D -2.643 -0.29 0.775 -0.125
japan japansea mh marine jp ns allo allo_D -2.422 -0.265 0.546 -0.132
japan japansea mh white jp ns allo allo_D -2.517 -0.159 0.351 -0.099
japan japansea misty lake jp bc allo allo_D -1.89 -0.181 0.222 -0.165
japan japansea misty stream jp bc allo allo_D -1.988 -0.128 0.2 -0.14
japan japansea roberts lake jp bc allo allo_D -2.474 -0.145 0.339 -0.107
japan japansea roberts stream jp bc allo allo_D -2.345 -0.108 0.163 -0.095
japan japansea sk marine jp ns allo allo_D -2.252 -0.249 0.294 -0.121
japan japansea sr marine jp ns allo allo_D -2.399 -0.258 0.513 -0.135
japan japansea sr white jp ns allo allo_D -2.054 -0.247 0.091 -0.126
japan marine al marine jp ns allo allo_S -2.199 -0.135 -0.152 -0.07
japan marine boot lake jp bc allo allo_D -2.268 -0.132 -0.142 -0.041
japan marine boot stream jp bc allo allo_D -2.148 -0.176 -0.59 0.037
japan marine cl marine jp ns allo allo_S -2.438 -0.149 0.052 -0.048
japan marine cl white jp ns allo allo_D -2.374 -0.094 -0.309 -0.011
japan marine constance lake jp sl allo allo_D -2.529 -0.097 0.227 -0.081
japan marine constance stream jp sl allo allo_D -2.609 -0.069 0.095 -0.049
japan marine cp marine jp ns allo allo_S -2.143 -0.197 0.078 -0.114
japan marine denmark marine jp ne allo allo_S -3.276 -0.07 0.675 -0.029
japan marine geneva lake jp sl allo allo_D -2.934 -0.047 0.594 -0.1
japan marine geneva stream jp sl allo allo_D -2.494 -0.105 0.193 -0.074
japan marine japan japansea jp jp para para_D -1.662 -0.596 -0.06 -0.101
japan marine joes lake jp bc allo allo_D -2.53 -0.127 -0.169 0.015
